name,operations,elapsedMs,opsPerSecond,p50Ms,p95Ms,p99Ms,storeBytes,managedMemoryBytes
create concurrent,1000,2595,385.356,3.676,39.845,93.031,2178000,93976
read concurrent,1000,445,2247.191,0.755,2.485,7.788,2178000,93976
lock-update concurrent,1000,9940,100.604,37.987,58.523,70.419,2178000,93976
refresh concurrent,1000,4952,201.939,19.027,24.759,43.925,2178000,93976
stats,1000,275,3636.364,274.949,274.949,274.949,2178000,93976
prometheus,1000,253,3952.569,253.011,253.011,253.011,2178000,93976
cleanup no-expired,1000,243,4115.226,243.072,243.072,243.072,2178000,93976
replication full,1000,1887,529.942,1884.945,1884.945,1884.945,2178000,93976
snapshot full,1000,1886,530.223,1885.28,1885.28,1885.28,2178000,93976
