name,operations,elapsedMs,opsPerSecond,p50Ms,p95Ms,p99Ms,storeBytes,managedMemoryBytes
create concurrent,3000,6682,448.967,7.102,72.923,152.145,24966000,192280
read concurrent,3000,1332,2252.252,0.742,6.798,23.103,24966000,192280
lock-update concurrent,3000,20100,149.254,45.661,94.757,136.317,24966000,192280
refresh concurrent,3000,10209,293.858,22.066,57.388,86.634,24966000,192280
stats,3000,907,3307.607,906.606,906.606,906.606,24966000,192280
prometheus,3000,653,4594.181,653.689,653.689,653.689,24966000,192280
cleanup no-expired,3000,696,4310.345,696.789,696.789,696.789,24966000,192280
replication full,3000,5227,573.943,5225.151,5225.151,5225.151,24966000,192280
snapshot full,3000,5157,581.734,5156.017,5156.017,5156.017,24966000,192280
